32227, the Ville, <all>, 침대
32237, the Ville, <all>, 책상
32247, the Ville, <all>, 옷장
32257, the Ville, <all>, 선반
32267, the Ville, <all>, 이젤
32277, the Ville, <all>, 화장실 세면대
32208, the Ville, <all>, 샤워기
32218, the Ville, <all>, 변기
32228, the Ville, <all>, 부엌 싱크대
32238, the Ville, <all>, 냉장고
32248, the Ville, <all>, 토스터기
32258, the Ville, <all>, 요리하는 공간
32268, the Ville, <all>, 소파 테이블
32278, the Ville, <all>, 소파
32209, the Ville, <all>, 기타
32219, the Ville, <all>, 마이크
32229, the Ville, <all>, 손님용 바 의자
32239, the Ville, <all>, 바 카운터 뒷쪽
32249, the Ville, <all>, 카페 카운터 뒷쪽
32259, the Ville, <all>, 카페 손님용 의자
32269, the Ville, <all>, 피아노
32279, the Ville, <all>, 칠판
32210, the Ville, <all>, 게임기
32220, the Ville, <all>, 컴퓨터 책상
32230, the Ville, <all>, 컴퓨터
32240, the Ville, <all>, 도서관 소파
32250, the Ville, <all>, 책장
32260, the Ville, <all>, 도서관 테이블
32270, the Ville, <all>, 교실 학생용 의자
32280, the Ville, <all>, 교실 강연대
32211, the Ville, <all>, 약국 카운터 뒷편
32221, the Ville, <all>, 영양제 카운터 뒷편
32231, the Ville, <all>, 약국 선반
32241, the Ville, <all>, 영양제 선반
32251, the Ville, <all>, 약국 카운터
32261, the Ville, <all>, 영양제 카운터
32271, the Ville, <all>, 매점 선반
32281, the Ville, <all>, 매점 카운터 뒷편
32212, the Ville, <all>, 매점 카운터
32222, the Ville, <all>, 기숙사 정원
32232, the Ville, <all>, 집 정원
32242, the Ville, <all>, 정원용 의자
32252, the Ville, <all>, 공원 정원
32262, the Ville, <all>, 하프
32272, the Ville, <all>, lifting weight
32282, the Ville, <all>, 당구대
